current_player,turns_played,white_pawn,white_knight,white_bishop,white_rook,white_queen,black_pawn,black_knight,black_bishop,black_rook,black_queen,white_double_pawns,black_double_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_mobility,black_mobility,winner
1,27,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,43,43,1
0,32,6,1,0,2,1,5,1,1,2,1,0,0,0,0,1,0,37,41,1
0,40,5,0,1,2,1,7,1,1,2,0,0,1,2,0,0,3,43,39,0
1,85,2,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,23,8,0
0,6,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,32,33,1
1,9,7,1,2,2,1,7,1,2,2,1,0,0,0,0,0,0,47,28,0
0,32,6,0,0,2,1,5,0,2,1,1,0,0,0,0,0,0,34,31,0
0,62,5,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,14,19,1
0,32,6,0,1,1,1,6,1,2,1,1,0,0,0,0,0,0,29,53,1
1,5,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,38,24,1
0,34,6,1,1,0,0,7,0,0,2,0,0,1,1,2,1,2,19,43,1
1,43,6,0,2,2,1,5,1,1,2,1,0,0,0,0,0,0,43,45,0
1,49,5,0,1,2,0,5,1,1,2,0,1,0,2,2,2,2,22,39,0
0,74,5,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,56,8,0
0,24,4,1,2,2,1,5,2,2,2,1,0,0,0,0,0,0,25,48,1
0,82,1,0,0,0,0,6,0,2,0,0,0,0,1,0,0,1,8,18,1
1,103,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,8,17,1
1,39,5,0,0,2,1,6,0,1,2,1,1,0,3,0,0,1,41,40,1
0,22,7,1,1,2,1,6,2,0,2,1,0,0,0,1,1,0,40,35,1
0,32,4,0,2,2,1,8,1,2,2,1,0,1,0,0,0,0,31,45,1
0,32,5,2,1,1,1,6,1,1,1,1,0,0,1,1,1,1,37,25,0
0,64,3,1,0,1,0,5,0,0,1,0,0,0,1,0,0,0,29,25,0
1,37,5,0,1,1,1,4,0,1,2,0,0,0,0,3,3,0,36,21,0
0,134,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,29,5,0
0,22,7,2,1,2,1,7,1,2,2,1,0,0,0,0,0,0,41,35,1
1,29,7,1,2,2,1,7,2,1,2,1,0,0,0,0,0,0,40,54,1
0,8,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,27,29,1
1,27,7,1,1,2,0,7,1,1,2,0,0,0,0,0,0,0,40,22,0
0,22,7,2,1,1,0,7,1,2,2,0,0,0,1,0,0,1,28,30,0
1,49,4,1,2,1,1,4,0,1,1,0,0,0,2,1,2,1,46,16,0
1,3,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,38,30,1
0,16,7,1,2,2,1,7,1,2,2,1,0,0,0,0,0,0,56,33,1
0,40,6,2,0,1,0,6,1,1,1,0,0,0,0,0,0,0,35,38,0
1,3,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,28,29,0
0,16,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,38,38,0
